Heure;Debit (veh/h): Boucle 1;Debit (veh/h): Boucle 2;Debit (veh/h): Boucle 3;Vitesse (km/h): Boucle 1;Vitesse (km/h): Boucle 2;Vitesse (km/h): Boucle 3;To (%): Boucle 1;To (%): Boucle 2;To (%): Boucle 3
07:16;5340;5700;5820;72;69;64;14;19;21
07:17;4920;5340;4740;64;72;74;16;16;15
07:18;5040;5100;4320;66;74;69;14;15;14
07:19;4260;4020;5100;62;75;63;13;11;17
07:20;4680;4800;4620;67;77;80;13;13;13
07:21;4260;4440;4140;70;75;69;12;13;13
07:22;4380;5340;5820;60;71;69;14;16;18
07:23;5160;5400;5100;65;73;72;15;15;15
07:24;5220;4560;4740;62;70;66;15;14;16
07:25;4860;4680;4500;62;76;69;14;14;15
07:26;4080;4800;4860;63;71;75;13;15;14
07:27;5040;4020;4560;57;78;67;17;11;15
07:28;3720;5340;4680;67;70;65;11;18;16
07:29;4680;4560;5160;62;67;69;15;15;16
07:30;4680;4980;4440;64;67;68;13;16;15
07:31;4500;4260;5640;53;73;68;15;14;19
07:32;4440;4920;3960;57;64;72;15;16;12
07:33;4080;4620;4380;43;73;65;19;14;14
07:34;5040;3900;4140;42;70;71;23;14;14
07:35;4080;4200;4920;64;74;66;12;13;17
07:36;3840;5820;5280;62;65;72;12;18;16
07:37;5340;4320;4500;52;71;68;18;13;14
07:38;4260;4740;5100;38;71;67;21;13;17
07:39;4980;5460;5160;54;68;65;17;18;18
07:40;4980;4920;4500;56;71;63;17;14;15
07:41;5220;4920;4920;48;72;78;19;14;14
07:42;4740;4680;5340;58;71;58;15;15;20
07:43;4500;5880;4920;54;65;61;16;19;17
07:44;5640;4980;5340;56;72;67;18;14;19
07:45;4200;4560;4020;55;70;61;14;14;14
07:46;4740;4380;5100;52;71;68;17;13;16
07:47;4140;4020;3720;54;69;74;14;12;12
07:48;4380;4500;4020;54;73;77;16;14;13
07:49;4260;3720;4260;60;69;64;14;12;14
07:50;3600;5040;4740;64;70;68;11;15;15
07:51;4980;3720;3540;62;75;74;15;10;10
07:52;3600;4920;5040;70;65;70;10;15;15
07:53;4800;3420;4020;60;69;72;15;11;13
07:54;3600;4080;3360;62;71;76;11;12;10
07:55;3720;3600;3540;65;77;73;11;10;10
07:56;3300;4140;5280;69;76;57;9;12;18
07:57;4080;4440;3480;64;67;76;12;14;10
07:58;4320;3900;4080;58;70;77;13;12;12
07:59;4260;4800;5280;64;71;71;12;14;17
08:00;4500;5580;4800;64;71;69;13;17;16
08:01;5520;3600;3660;55;75;73;19;11;10
08:02;3780;4140;4080;67;77;80;11;11;11
08:03;3420;3780;3900;70;74;77;9;11;11
08:04;3780;3900;3780;58;78;83;13;11;11
08:05;3960;4560;4980;67;72;67;11;14;16
08:06;4200;3780;4200;53;73;80;14;11;12
08:07;4320;5100;5040;51;71;70;15;16;16
08:08;5040;4320;4920;55;75;69;17;12;16
08:09;4260;4800;4740;62;67;66;13;16;16
08:10;4560;4200;4020;64;71;68;14;13;13
08:11;3780;4800;4980;68;70;73;12;15;16
08:12;4860;4500;4020;56;70;75;16;13;12
08:13;4140;4380;4200;56;67;76;14;15;12
08:14;3300;4140;4080;42;69;79;14;13;11
08:15;3660;2760;2760;48;78;82;14;8;8
08:16;2940;4080;3900;33;77;80;16;11;10
08:17;4440;3240;3480;49;80;81;17;9;10
08:18;3900;3360;3360;56;83;85;13;9;9
08:19;3180;3240;3060;80;78;76;8;9;8
08:20;3000;4080;4380;71;77;81;8;11;12
08:21;3960;3900;3540;64;73;69;12;12;12
08:22;3420;3660;3780;70;81;78;10;9;11
08:23;3540;3240;3300;69;75;77;10;9;9
08:24;3240;4380;5040;67;70;64;9;13;16
08:25;4740;4860;4920;65;70;65;13;15;16
08:26;4800;4320;3660;62;74;67;14;13;13
08:27;3900;3300;3180;65;81;81;13;9;9
08:28;3060;4320;5280;74;73;68;7;14;19
08:29;4620;4620;3840;57;69;76;17;14;10
08:30;4260;3720;4140;59;78;73;14;10;13
08:31;3840;4260;4140;68;74;72;11;14;14
08:32;4020;3960;3960;59;75;74;15;11;13
08:33;4140;4140;4260;57;75;74;14;13;14
08:34;3900;4620;4140;60;74;76;13;13;13
08:35;3480;3420;4200;31;76;78;22;10;11
08:36;4320;3900;3360;54;76;75;14;10;9
08:37;3660;3780;4140;66;83;74;10;10;12
08:38;3960;4140;3420;69;73;74;11;12;10
08:39;3420;3060;3060;64;80;67;10;9;11
08:40;3480;3600;3480;73;76;71;10;11;10
08:41;3360;3960;4140;68;75;82;9;11;11
08:42;4080;3600;3480;69;80;78;11;10;10
08:43;3180;3420;4200;75;79;73;9;9;12
08:44;3960;4320;4140;72;74;75;10;13;13
08:45;3600;4320;3840;67;72;72;10;13;11
08:46;4260;3900;4140;62;80;72;13;11;14
08:47;3540;3600;3600;62;76;74;12;11;11
08:48;3540;4140;4560;63;74;77;10;12;14
08:49;4140;4440;3900;61;75;66;13;12;13
08:50;4260;3600;3480;58;77;75;14;10;11
08:51;3660;3720;4140;68;80;68;11;12;16
08:52;2640;3840;4020;48;74;76;18;12;12
08:53;2400;4260;3900;37;80;78;44;12;10
08:54;1740;3060;2580;21;83;73;35;8;8
08:55;1920;3300;4140;20;79;75;30;9;12
08:56;1860;2820;2520;21;79;71;34;8;8
08:57;2100;3240;2940;13;74;76;40;9;9
08:58;1320;2880;2940;27;64;74;47;10;9
08:59;1980;3180;3660;18;45;74;55;16;11
09:00;1740;2520;3120;26;30;68;29;29;10
09:01;1500;1080;2700;14;12;66;15;26;8
09:02;2040;1620;3300;19;11;57;25;41;13
09:03;1920;1260;2520;19;8;56;42;46;11
09:04;1560;1500;3120;21;16;29;40;35;26
09:05;2400;1560;1860;12;9;12;41;36;50
09:06;1740;1800;1440;23;13;12;17;39;37
09:07;1500;960;1920;11;12;11;64;24;58
09:08;1800;-2;1920;13;-2;12;58;-2;39
09:09;1800;1920;1560;13;11;11;38;51;65
09:10;1560;1920;2460;18;14;13;16;36;43
09:11;1260;1260;1740;16;13;8;11;30;59
09:12;1980;1200;1080;16;14;13;34;21;13
09:13;1680;1200;2220;26;13;10;23;23;47
09:14;1320;1200;960;19;11;8;33;41;55
09:15;1200;780;1980;17;11;12;22;20;35
09:16;1920;1380;540;17;11;10;63;44;83
09:17;1860;1200;1140;16;17;8;39;45;68
09:18;1860;1500;1740;16;14;11;39;53;52
09:19;1980;1680;1620;16;14;14;34;46;59
09:20;1860;1800;2040;15;15;14;32;37;38
09:21;1260;1740;1440;16;15;9;29;21;39
09:22;1560;1320;2040;18;14;19;40;32;40
09:23;840;1980;1620;10;18;11;33;27;34
09:24;1440;1920;2100;20;26;10;21;60;56
09:25;1680;960;2160;14;14;16;51;30;28
09:26;1740;900;1080;16;15;11;37;61;24
09:27;1620;900;1380;14;8;11;32;30;26
09:28;1800;1380;1440;22;11;20;9;39;35
09:29;1920;960;1020;20;17;7;37;13;51
09:30;1740;1440;1500;22;19;10;32;26;69
09:31;1560;1620;1260;11;19;16;27;29;42
09:32;1860;1380;1740;13;19;19;44;25;42
09:33;2880;1560;1440;19;16;11;30;50;61
09:34;2400;2460;1680;26;18;21;21;44;66
09:35;2040;960;2160;16;11;18;43;44;43
09:36;2040;1980;1980;19;17;12;44;29;56
09:37;2340;2760;1620;17;24;13;35;30;38
09:38;2760;2100;2880;23;17;17;23;41;47
09:39;1560;2940;2880;16;17;19;25;39;43
09:40;1740;2580;1860;10;15;15;44;39;42
09:41;2100;1260;3780;21;11;20;26;33;56
09:42;2460;1560;1620;21;9;11;12;34;62
09:43;2100;2100;1260;20;13;6;24;40;42
09:44;2820;1200;2040;26;11;12;25;33;46
09:45;2880;1800;1500;19;12;12;27;31;47
09:46;2280;2220;1140;20;15;11;24;39;36
09:47;2340;2580;3600;15;18;21;33;40;40
09:48;3420;3240;2700;23;20;14;25;37;47
09:49;2520;2880;3240;19;17;17;41;37;40
09:50;1860;2460;3480;16;16;27;24;39;34
09:51;2400;2580;2340;20;16;16;31;32;43
09:52;2700;2400;3240;35;18;20;18;45;64
09:53;3240;1560;2400;31;13;14;26;31;53
09:54;2640;2640;1560;26;20;10;21;31;46
09:55;2580;3480;2400;29;26;15;24;32;44
09:56;3420;4020;3780;37;30;26;20;33;31
09:57;2940;4620;4260;35;33;36;22;31;30
09:58;3420;4140;4080;43;30;46;20;36;21
09:59;3720;3240;3420;32;24;70;25;32;12
